electrode,zl_100.0um
DC1,-0.6875154830272454
DC2,-1.298988164341764
DC3,-1.5353340552222643
DC4,-2.157065013212491
DC5,-1.0426540597138507
DC6,-2.9462036639386535
DC7,-2.237971543367319
DC8,0.21705569080923282
DC9,0.1694901973440841
DC10,-0.06761821576796782
DC11,0.09400327103695667
DC12,0.7810228370061405
DC13,1.4644447041885227
DC14,0.1555665305952844
DC15,-3.78046919696737
DC16,3.6392347705549506
DC17,-0.5332700373228993
DC18,-0.8841615528130083
DC19,-0.7171315676464801
DC20,-0.5469647992582264
DC21,-0.686713516108383
